crop,wavg_price,wavg_price_y1,wavg_price_y2,price_cv_y1,price_cv_y2,total_volume,trade_days,is_blanched,avg_daily_volume,availability,price_spread_ratio
FQ1 毛豆 豆莢,50.72088839861071,53.63852738397254,48.261098501814224,0.2777665261654384,0.27891753220558874,366232,524,False,698.9160305343512,0.880672268907563,0.42793062408453697
SJ3 芋 里芋,53.43566640242404,53.57647823335937,53.303292928643394,0.26931498501458656,0.286535927395919,362041,586,False,617.8174061433447,0.984873949579832,0.49073900618138455
MK1 鴻喜菇,87.95976819263474,90.81969018770303,84.75367637110199,0.49379406889364724,0.4173654427224789,360558,595,False,605.9798319327731,1.0,0.3992986895668517
LE2 皇宮菜 大葉,32.80549666727732,34.72744543081561,31.073576090101483,0.43457220362464655,0.4265575286981591,354815,595,False,596.3277310924369,1.0,0.6756212646221254
LX1 蕨菜 過貓,75.20102226622738,77.69382023131568,72.85704025526654,0.47736172227215334,0.3698426826079619,351474,594,False,591.7070707070707,0.9983193277310924,0.34987258335421684
LB22 小白菜 蚵仔白 未洗,37.45995831852885,37.45995831852885,,0.2208949426613848,,334921,12,False,27910.083333333332,0.020168067226890758,0.9200152523005988
LI1 萵苣菜 廣東菜,38.4901554701976,37.02953774145197,39.82889729897869,0.9749313173625115,0.696778350410258,295748,594,False,497.8922558922559,0.9983193277310924,0.6456293820211504
LA5 甘藍 甘藍心,31.932917997253057,36.96359803290593,28.392808742154063,0.948661914349608,0.8681561184339176,293417,526,False,557.8269961977186,0.8840336134453781,0.44578405164235285
FL2 豌豆 紅花,112.2377309723771,111.7117387848536,112.84594062026676,0.4346598126560904,0.352283181686108,293271,402,False,729.5298507462686,0.6756302521008404,0.4034587671534455
SM9 牛蒡 進口,43.55237042200199,47.35234850824228,39.11791667305599,0.5046967090527248,0.36262888102667395,282629,589,False,479.84550084889645,0.9899159663865547,0.17055681949099044
FT6 南瓜 東昇,32.963029090185266,35.16784940302325,30.495258003766477,0.48096024577778707,0.463219477490249,281332,424,False,663.5188679245283,0.7126050420168067,0.3608731564058358
FT0 南瓜 其他,18.862432845666092,24.600585062918775,15.77313237605875,0.46596629392772027,0.5000609968668814,262269,561,False,467.50267379679144,0.9428571428571428,0.3456282946240071
FT3 南瓜 黃如意,71.94531685976415,76.28038538058512,67.8972614095599,1.3675291380563903,1.281857620510297,261267,592,False,441.3293918918919,0.9949579831932773,0.8406519517962043
SA7 蘿蔔 甜菜根,23.52700122796043,17.613038783692588,29.127238348707998,0.47184702147104113,0.5183507051423254,258966,588,False,440.4183673469388,0.9882352941176471,0.48861284412485484
FK9 甜椒 進口,69.43113485405537,71.64353374908556,66.60529733930356,0.4439712132209868,0.39406769071361514,246155,345,False,713.4927536231884,0.5798319327731093,0.3057035142997132
OA1 鹹菜 清心,32.80055488821185,31.38447778328183,34.38855656467684,0.4034540233356833,0.2900929056390738,240589,209,False,1151.1435406698565,0.35126050420168065,0.06253243418183843
FK3 甜椒 新香,50.08132299371262,54.825300678087075,45.735836643292636,0.9048348351766468,0.6693729358548532,234438,592,False,396.01013513513516,0.9949579831932773,0.6926827980226903
FI0 茄子 其他,29.529943820949157,33.5529398261668,26.711729405745196,0.6118072526971262,0.6971705738604608,232649,593,False,392.3254637436762,0.9966386554621849,0.7623033894886967
SJ5 芋 芋角,75.80737881696956,76.03253329150108,75.57951967684464,0.1522081275784048,0.1581691751766375,228126,448,False,509.20982142857144,0.7529411764705882,0.21710162002617334
MA1 洋菇,122.31634585085216,118.34649795223834,126.97072123612537,0.4139073969203141,0.421157245704387,222142,595,False,373.3478991596639,1.0,0.35875765202083765
SU1 薯蕷 紅薯蕷,68.6330084579116,63.68852969309835,74.86657571205201,0.36523199531953165,0.48803644340455987,221213,588,False,376.2125850340136,0.9882352941176471,0.46035142179333677
LA4 甘藍 紫色,21.578398430483976,21.47817131035103,21.738090290218558,0.5824704087054432,0.5625299646862094,217137,577,False,376.3206239168111,0.9697478991596639,0.3250096303656924
SK2 荸薺 加工,66.2993766204592,66.28629953793796,66.31284882229423,0.03637903728649796,0.0915543984921657,213674,593,False,360.32715008431705,0.9966386554621849,0.0006996836506622449
SH4 竹筍 孟宗筍,124.29497946977652,116.83401481898773,135.4433799029637,0.7796246945326041,0.728285367089766,213344,296,False,720.7567567567568,0.49747899159663866,0.2635009839775875
LC91 包心白菜 進口 包白,46.66395867552191,,46.66395867552191,,0.011320760926804277,210045,166,False,1265.3313253012047,0.27899159663865547,0.02198812349515514
SB9 胡蘿蔔 進口,22.845716947784993,19.906242818843356,24.61841768935836,0.45392318935402604,0.5459306357069755,208216,295,False,705.8169491525424,0.4957983193277311,0.11835044007409207
SG4 大蒜 蔥蒜,82.7190439846773,93.42835314689418,75.14581856809713,0.7356019591241283,0.9543836600540836,205708,529,False,388.86200378071834,0.8890756302521008,0.3786887041431513
MK2 鴻喜菇 盒裝,185.64625371317265,182.7931476068325,188.38515061275913,0.45682242137230217,0.31861128306071645,205350,595,False,345.12605042016804,1.0,0.2673392081867878
SX3 芽菜類 豌豆芽,79.9950843304731,77.42220789874605,82.20286328107144,0.10551065352575073,0.057990349275258805,203248,595,False,341.59327731092435,1.0,0.041826292379886894
FE0 冬瓜 其他,19.674924124272806,15.109439614538598,21.08787409232365,0.5440069063892303,0.48811759129596066,201975,418,False,483.1937799043062,0.7025210084033613,0.28904328436138993
LS1 茴香,46.82676052123696,50.596431380159125,43.22993451185998,0.45418286995690244,0.5600456812106328,200523,554,False,361.95487364620936,0.9310924369747899,0.36864165944976546
LX2 蕨菜 山蘇,173.44065217170743,164.9884091285418,182.62735154934944,0.46181418001103275,0.45780849287190045,197126,593,False,332.42158516020237,0.9966386554621849,0.44422602489023016
FZ2 落花生 熟,72.35082201877985,70.16863204731673,74.46571726074656,0.25825970774500095,0.29820217272404653,187222,594,False,315.1885521885522,0.9983193277310924,0.015581409078265725
LC6 包心白 冬白芽,57.5561001128081,58.11256741334169,56.9474612362782,0.5733943125571739,0.713741617255897,171087,379,False,451.4168865435356,0.6369747899159663,0.5466072421147009
